feature,ks_stat,ks_pvalue,ks_drifted,psi,psi_severity,n_ref,n_cur
wasd_rhythm,0.7894736842105263,1.8326107819676767e-10,True,9.36726684452005,significant,19,89
speed_mean,0.6101694915254238,2.8364218040304465e-17,True,7.9543755245636145,significant,59,248
speed_std,0.6101694915254238,2.8364218040304465e-17,True,7.921073987617298,significant,59,248
accel_std,0.6101694915254238,2.8364218040304465e-17,True,7.679849912559398,significant,59,248
accel_mean,0.5851558228540186,8.213992279593211e-16,True,6.613602772266413,significant,59,248
event_rate,0.6075668126706024,2.441854571124689e-17,True,5.0738460618489025,significant,59,267
mouse_curvature_std,0.5279524330235101,8.990230482713157e-13,True,1.4584009539337017,significant,59,248
jitter,0.3915390924002187,4.584454511360282e-07,True,1.1549172096394025,significant,59,248
path_efficiency,0.3915390924002187,4.584454511360282e-07,True,1.1164427040793832,significant,59,248
click_interval_std,0.32366799565059806,0.011866671332216446,True,1.104877584559924,significant,31,89
mouse_curvature_mean,0.43685073810825586,9.761799998805846e-09,True,1.1014482986979988,significant,59,248
mouse_key_ratio,0.4152224973021012,4.9968860601652383e-08,True,1.056463951025086,significant,59,267
iki_std,0.38752276867030966,1.2289928699774413e-05,True,0.994606993151215,significant,45,244
hold_mean,0.21994360420405024,0.03625642641255267,True,0.8977394136320989,significant,47,249
hold_std,0.22357723577235772,0.037157252259254085,True,0.6969966935429426,significant,45,246
burst_rate,0.20218371103916713,0.032467966422179105,True,0.6880656713967559,significant,59,267
scroll_direction_ratio,0.3509803921568627,0.1932458318255767,False,0.6681648776272889,significant,10,51
iki_mean,0.3580645161290323,7.386045968731203e-05,True,0.5847166101949239,significant,45,248
direction_changes_per_sec,0.3390513942044833,2.214281238168549e-05,True,0.4359416382489234,significant,59,248
keystroke_periodicity,0.20801457194899817,0.0632347342464525,False,0.3750643761900144,significant,45,244
inter_click_movement,0.10448232323232323,0.9242539487354259,False,0.18724747432463154,moderate,32,99
click_reaction_mean,0.09615384615384616,0.8566072461714839,False,0.18385511677363642,moderate,52,130
click_interval_mean,0.10321969696969698,0.9294258328902363,False,0.10735743439842767,moderate,32,99
active_time_pct,0.18199707992128483,0.07054000631297705,False,0.06628283849680272,none,59,267
scroll_count,0.05402145623055926,0.9971467761014114,False,0.0002303409648652079,none,59,267
